snapshot_date,snapshot_at_utc,source,format_slug,format_name,source_url,pokemon_name,usage_rank,usage_pct,sample_teams,team_appearances,team_appearance_pct,wins,losses,draws,matches_played,win_rate,avg_team_rank,best_team_rank,unique_authors,unique_events,top_teammates,top_teammate_appearances,top_teammate_win_rates
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Ninetales-Alola,,,20,2,10.00,16,1,0,17,94.12,17.50,15,2,2,Glimmora-Mega:Gyarados-Mega:Rotom-Heat:Sableye:Sinistcha,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Skarmory-Mega,,,20,2,10.00,22,2,0,24,91.67,5.00,3,2,2,Basculegion:Whimsicott:Floette-Eternal:Incineroar:Sneasler,2:2:1:1:1,91.67:91.67:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Volcarona,,,20,2,10.00,18,2,0,20,90.00,15.50,13,2,2,Dragonite:Lopunny-Mega:Meowscarada:Orthworm:Primarina,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Blastoise,,,20,1,5.00,9,1,0,10,90.00,20.00,20,1,1,Dragonite:Gengar-Mega:Incineroar:Kingambit:Ninetales-Alola,1:1:1:1:1,90.00:90.00:90.00:90.00:90.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Dragonite-Mega,,,20,1,5.00,12,0,0,12,100.00,1.00,1,1,1,Archaludon:Basculegion:Incineroar:Pelipper:Scizor-Mega,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Excadrill,,,20,1,5.00,11,2,0,13,84.62,2.00,2,1,1,Corviknight:Hydreigon:Mimikyu:Rotom-Wash:Tyranitar-Mega,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Glimmora,,,20,1,5.00,9,1,0,10,90.00,12.00,12,1,1,Basculegion:Charizard-Mega-Y:Garchomp:Kingambit:Whimsicott,1:1:1:1:1,90.00:90.00:90.00:90.00:90.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Glimmora-Mega,,,20,1,5.00,7,0,0,7,100.00,15.00,15,1,1,Gyarados-Mega:Ninetales-Alola:Rotom-Heat:Sableye:Sinistcha,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Gyarados-Mega,,,20,1,5.00,7,0,0,7,100.00,15.00,15,1,1,Glimmora-Mega:Ninetales-Alola:Rotom-Heat:Sableye:Sinistcha,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Kommo-o,,,20,1,5.00,11,2,0,13,84.62,14.00,14,1,1,Basculegion:Froslass-Mega:Kingambit:Sneasler:Tsareena,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
